#id,type,P,uA,u0,uT,gA,g0,gT,rA,r0,rT,iA,i0,iT,zA,z0,zT
1837162,ab,0.580767811149,0.841510349157,19.298292524679,100,0.930340815542,18.094783967938,111,0.694772084601,18.128542658744,107,0.519196297645,18.205556067234,107,0.454174892156,18.278911122113,100
1841285,ab,0.499553917313,1.516369110261,17.044722120681,105,1.508692567549,15.915856978707,117,1.090428601557,16.082998166021,116,0.790622686811,16.3176775116,100,0.885882394794,16.348332053074,100
1864989,ab,0.575207257159,0.965930066109,18.202608634082,110,0.973753764439,17.09456737487,106,0.716926799023,17.070653682952,109,0.560819041229,17.126664387425,110,0.502916572765,17.189282779813,107
1867617,ab,0.576160850198,1.237493439282,16.954081533525,109,1.313270016868,15.768692317618,118,0.949507834989,15.887443075748,115,0.786355413456,15.953774758776,113,0.678232441527,16.065827483315,114
1879031,ab,0.5777732697,0.841775121056,17.517124414584,107,0.877292295413,16.361974472187,105,0.611655634958,16.372769656353,106,0.483906732286,16.409065700024,111,0.457387566273,16.43216870913,103
1884245,ab,0.621679702237,0.732767807233,20.203074133395,107,0.766013455846,18.960809091858,119,0.563083145367,18.969619530711,107,0.373148882193,19.028134048977,100,0.363521450734,19.045139560819,105
1895734,ab,0.674987649539,0.872357493913,16.536276191203,101,0.944812543013,15.332433445623,106,0.672749670124,15.351675258365,108,0.566948728068,15.377321617144,109,0.464102950666,15.446745237367,100
1898191,ab,0.594216511509,0.742970760611,18.08670267609,106,0.795413763038,16.891565730318,108,0.537315594154,16.871384530442,112,0.452666385815,16.907409275357,108,0.377161668873,16.924509293256,114
1912140,ab,0.570165312527,1.188682335508,18.127227550508,105,1.221504546955,16.982000471935,112,0.883805848053,17.057243735948,112,0.702740263349,17.148272681349,116,0.62324771091,17.210390873562,114
1928523,ab,0.601955559798,0.614665006713,14.866012682076,109,0.645203587826,13.675550914028,113,0.52332884002,13.76899226535,101,0.416383419038,13.897168747179,106,0.330212459297,14.008810924524,101
1935271,ab,0.564230362405,0.97805701896,16.078917793158,108,1.025326243662,14.889847119776,111,0.733776169498,14.926766457311,109,0.581410208328,14.984514621204,111,0.538634379196,15.022811451258,109
1950381,ab,0.597984506204,0.923236003381,17.536338801899,107,0.992970674008,16.323369754611,113,0.713107821497,16.371808770033,113,0.609241369922,16.41331581596,118,0.530675935397,16.460693420711,113
1956001,ab,0.552552731735,1.15768697397,16.97235521833,108,1.176815004626,15.79920943355,117,0.847068443867,15.92665733801,113,0.693463533144,16.009092047512,113,0.602175795528,16.101075250275,114
1958810,ab,0.547844370805,1.123759842802,17.343254273684,109,1.133363511355,16.180923030934,111,0.819110326281,16.226760836246,114,0.689422191056,16.286029200568,118,0.605752030774,16.370848350863,110
1975314,ab,0.523824647617,0.96567062835,18.420555861873,107,0.997682226831,17.346437906423,111,0.733544262947,17.420882977437,111,0.580744162476,17.530950300915,110,0.566770343778,17.545811154288,113
1981725,ab,0.485873184148,0.657998506183,17.606018011232,100,0.73041450217,16.450577778089,100,0.488345850189,16.547840657306,101,0.417343848841,16.5554850634,100,0.384388400812,16.568451746681,101
1986301,c,0.30839523597,0.505077979706,19.085753542641,0,0.592731973147,17.89657680052,1,0.408387095682,18.013143364845,1,0.336704808834,18.08531063347,1,0.273739035654,18.161964980802,0
1991751,ab,0.658993852154,0.547145708193,17.012586771507,100,0.596794956636,15.830100076894,101,0.424699300646,15.768547452309,104,0.340034638254,15.767702638129,104,0.292212236137,15.769477827291,101
